MaDotChiTra,TenDotChiTra,Thang,Nam,NgayBatDau,NgayKetThuc,NguonFile,GhiChu
DCT_202606_BINH_NHON,Trợ cấp tháng 06/2026 - Bình Nhơn,6,2026,2026-06-01,2026-06-30,"DANH SÁCH ĐỐI TƯỢNG NHẬN TRỢ CẤP XÃ HỘI, TRỢ GIÚP XÃ HỘI HÀNG THÁNG.txt",Tạo từ danh sách chi trả thật
DCT_202606_SONGLUY_CU,Trợ cấp tháng 06/2026 - Khu vực Sông Lũy cũ,6,2026,2026-06-01,2026-06-30,DANH SÁCH THÁNG 06 KHU VỰC SÔNG LŨY CŨ.txt,Tạo từ danh sách chi trả thật
DCT_202606_PHAN_TIEN_CU,Trợ cấp tháng 06/2026 - Phan Tiến cũ,6,2026,2026-06-01,2026-06-30,DANH SÁCH THÁNG 06 PHAN TIẾN(CŨ).txt,Tạo từ danh sách chi trả thật
